YEAR,CLUSTER,X,Y
2022,43,49.11949,35.902214
2022,23,12.118243,-3.5870657
2022,20,8.47016,-46.17804
2022,12,87.7557,-21.233536
2022,24,20.08515,-87.160774
2022,10,-53.926003,-21.07602
2022,34,-58.509354,-48.758766
2022,46,-62.580746,-66.5651
2022,47,-40.992157,-54.059307
2022,59,-80.70447,-49.709652
2022,10,-85.44407,15.449159
2022,18,-85.134926,-21.014172
2022,35,-97.0724,-2.8619344
2022,37,-54.945446,36.041588
2022,2,-17.289204,-78.799225
2022,1,-7.960106,69.61564
2020,72,-24.597881,7.1861315
2020,67,-20.489195,2.952617
2020,67,-20.794827,-1.4802316
2020,72,-14.036367,-1.0680618
2020,15,-11.038828,-14.689221
2020,76,-15.120785,-4.0505557
2020,2,-22.32254,-72.44434
2014,14,13.425222,-16.570585
2014,14,66.801285,-2.6608326
2014,14,13.899995,-20.036966
2014,14,13.893107,-20.010963
2014,14,14.282806,-16.413372
2014,12,71.37681,-22.849907
2014,41,-42.134502,71.03473
2014,41,-43.44832,68.62367
2014,71,23.883263,-69.75506
2014,1,-1.2943145,72.40356
2014,3,-0.39985913,33.861023
2014,2,-20.14446,-75.98591
2007,0,75.84325,52.096848
2007,14,13.624578,-17.449366
2007,14,10.225457,-18.821827
2007,14,8.044524,-14.287645
2007,46,-64.66786,-63.647865
2007,47,-37.68512,-49.025963
2007,10,-52.108925,-10.3358
2007,41,-40.783104,73.92822
2007,74,59.33777,-41.38206
2007,32,-14.655032,-36.067818
2016,1,-0.4011437,100.05534
2016,0,69.2084,47.01461
2016,23,20.840528,12.750884
2016,12,80.40043,-13.05325
2016,16,37.618244,-71.84945
2016,4,-27.162764,59.164516
2016,0,39.099598,62.02244
2016,19,34.284924,-43.753
2014,0,66.03042,46.968674
2014,1,-22.091772,75.39965
2014,4,-24.833485,62.005722
2014,56,5.0705156,30.922411
2024,66,-3.8440983,54.399803
2024,53,42.3137,1.221811
2024,22,24.865498,15.254051
2024,55,53.57141,-24.428871
2024,55,35.91143,-34.49441
2024,8,1.7911711,10.213543
